county|positive_cases|deaths
||
Adams|1|0
Benton|12|2
Chelan|6|0
Clallam|4|0
Clark|16|4
Columbia|1|0
Cowlitz|3|0
Douglas|2|0
Franklin|7|0
Grant|27|1
Grays Harbor|1|0
Island|29|1
Jefferson|8|0
King|1277|94
Kitsap|20|0
Kittitas|6|0
Klickitat|6|0
Lewis|2|0
Lincoln|1|0
Mason|2|0
Pierce|138|1
San Juan|1|0
Skagit|48|1
Snohomish|614|16
Spokane|33|0
Stevens|1|0
Thurston|14|0
Walla Walla|2|0
Whatcom|64|2
Whitman|2|0
Yakima|44|1
Unassigned|77| 
Total|2469|123
