county|positive_cases|deaths
||
Benton|7|2
Chelan|3|0
Clallam|2|0
Clark|9|3
Columbia|1|0
Cowlitz|2|0
Franklin|2|0
Grant|11|1
Grays Harbor|1|0
Island|19|1
Jefferson|4|0
King|934|74
Kitsap|15|0
Kittitas|4|0
Klickitat|4|0
Lewis|2|0
Lincoln|1|0
Mason|1|0
Pierce|95|1
San Juan|1|0
Skagit|28|0
Snohomish|447|10
Spokane|16|0
Stevens|1|0
Thurston|9|0
Whatcom|14|2
Yakima|13|0
Unassigned|147| 
Total|1793|94
